title,keywords,keywordWeights
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,dál,0.503
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,riata,0.377
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,mac,0.327
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,columba,0.26
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,son,0.251
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,ulster,0.206
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,battle,0.175
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,bede,0.163
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,king,0.15
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,irish,0.128
%C3%85land,finland,0.531
%C3%85land,islands,0.397
%C3%85land,finnish,0.361
%C3%85land,swedish,0.298
%C3%85land,archipelago,0.213
%C3%85land,autonomous,0.158
%C3%85land,sweden,0.151
%C3%85land,autonomy,0.134
%C3%85land,easter,0.112
%C3%85land,government,0.09
%C3%89douard_Manet,paris,0.312
%C3%89douard_Manet,painting,0.305
%C3%89douard_Manet,paintings,0.225
%C3%89douard_Manet,le,0.203
%C3%89douard_Manet,grass,0.202
%C3%89douard_Manet,painter,0.202
%C3%89douard_Manet,painted,0.184
%C3%89douard_Manet,sur,0.158
%C3%89douard_Manet,woman,0.142
%C3%89douard_Manet,execution,0.142
%C3%89ire,ireland,0.586
%C3%89ire,irish,0.431
%C3%89ire,republic,0.312
%C3%89ire,state,0.184
%C3%89ire,king,0.16
%C3%89ire,de,0.145
%C3%89ire,president,0.132
%C3%89ire,cabinet,0.13
%C3%89ire,act,0.114
%C3%89ire,constitution,0.112
%C3%93engus_I_of_the_Picts,dál,0.498
%C3%93engus_I_of_the_Picts,riata,0.469
%C3%93engus_I_of_the_Picts,mac,0.348
%C3%93engus_I_of_the_Picts,andrews,0.228
%C3%93engus_I_of_the_Picts,king,0.21
%C3%93engus_I_of_the_Picts,son,0.179
%C3%93engus_I_of_the_Picts,northumbria,0.152
%C3%93engus_I_of_the_Picts,ireland,0.123
%C3%93engus_I_of_the_Picts,mercia,0.108
%C3%93engus_I_of_the_Picts,reign,0.106
%E2%82%AC2_commemorative_coins,coin,0.492
%E2%82%AC2_commemorative_coins,coins,0.46
%E2%82%AC2_commemorative_coins,mark,0.219
%E2%82%AC2_commemorative_coins,mint,0.187
%E2%82%AC2_commemorative_coins,marino,0.169
%E2%82%AC2_commemorative_coins,stars,0.166
%E2%82%AC2_commemorative_coins,ring,0.166
%E2%82%AC2_commemorative_coins,inscription,0.164
%E2%82%AC2_commemorative_coins,outer,0.155
%E2%82%AC2_commemorative_coins,luxembourg,0.145
10th_century,reigned,0.493
10th_century,lived,0.299
10th_century,otto,0.244
10th_century,century,0.216
10th_century,emperor,0.196
10th_century,rus,0.176
10th_century,maya,0.165
10th_century,millennium,0.155
10th_century,roman,0.149
10th_century,nadu,0.12
11th_century,bc,0.702
11th_century,th,0.537
11th_century,rd,0.136
11th_century,nd,0.133
11th_century,century,0.109
11th_century,millennium,0.098
11th_century,st,0.092
11th_century,byzantine,0.087
11th_century,battle,0.067
11th_century,jerusalem,0.067
12th_century,bc,0.695
12th_century,th,0.547
12th_century,rd,0.134
12th_century,nd,0.131
12th_century,khmer,0.124
12th_century,st,0.122
12th_century,millennium,0.097
12th_century,century,0.083
12th_century,king,0.08
12th_century,gothic,0.067
13th_century,khan,0.328
13th_century,empire,0.265
13th_century,genghis,0.25
13th_century,dynasty,0.217
13th_century,mongol,0.202
13th_century,founder,0.173
13th_century,mongols,0.161
13th_century,philosopher,0.159
13th_century,millennium,0.156
13th_century,statesman,0.15
14th_century,poet,0.279
14th_century,dante,0.201
14th_century,millennium,0.192
14th_century,poland,0.179
14th_century,statue,0.178
14th_century,england,0.175
14th_century,century,0.165
14th_century,empire,0.162
14th_century,shiva,0.152
14th_century,smithsonian,0.135
15th_Marine_Expeditionary_Unit,marine,0.452
15th_Marine_Expeditionary_Unit,marines,0.392
15th_Marine_Expeditionary_Unit,th,0.233
15th_Marine_Expeditionary_Unit,operation,0.166
15th_Marine_Expeditionary_Unit,camp,0.164
15th_Marine_Expeditionary_Unit,iraqi,0.151
15th_Marine_Expeditionary_Unit,unit,0.136
15th_Marine_Expeditionary_Unit,iraq,0.135
15th_Marine_Expeditionary_Unit,force,0.127
15th_Marine_Expeditionary_Unit,assistance,0.118
15th_century,bc,0.669
15th_century,th,0.52
15th_century,rd,0.129
15th_century,nd,0.126
15th_century,ottoman,0.102
15th_century,spain,0.1
15th_century,millennium,0.093
15th_century,empire,0.088
15th_century,st,0.088
15th_century,castile,0.082
16_Cygni,stars,0.313
16_Cygni,au,0.294
16_Cygni,dwarf,0.242
16_Cygni,extrasolar,0.226
16_Cygni,orbit,0.221
16_Cygni,distance,0.218
16_Cygni,star,0.198
16_Cygni,magnitude,0.164
16_Cygni,yr,0.155
16_Cygni,axis,0.152
16_Cygni_Bb,planet,0.35
16_Cygni_Bb,orbit,0.301
16_Cygni_Bb,star,0.287
16_Cygni_Bb,extrasolar,0.273
16_Cygni_Bb,mass,0.259
16_Cygni_Bb,planets,0.258
16_Cygni_Bb,eccentricity,0.245
16_Cygni_Bb,jupiter,0.216
16_Cygni_Bb,discovery,0.212
16_Cygni_Bb,au,0.16
16th_century,bc,0.597
